,CDESTACAO,SGUF,ENTIDADE,CORPODAGUA,LATITUDE,LONGITUDE,MIN_2019,MIN_2020,MIN_2021,MED_2019,MED_2020,MED_2021,MAX_2019,MAX_2020,MAX_2021
0,88045000,RS,FEPAM,Lagoa Mirim,-33.499316,-53.432618,77.927723,,,81.201838,,,83.319385,,
1,88070000 ou GER68,RS,FEPAM,Arroio Del Rey,-33.11114,-53.02911,51.543172,,,63.339936,,,71.252447,,
2,88150800,RS,FEPAM,Lagoa Mangueira,-32.937473,-52.693726,71.554873,,,73.236911,,,74.388753,,
3,88316000,RS,FEPAM,Lagoa Mirim,-32.640221,-53.149368,72.920613,,,76.345623,,,80.652583,,
4,88300500 ou GER61,RS,FEPAM,Rio Jaquarão,-32.57143,-53.36707,58.152945,,,64.180034,,,72.805435,,
5,88261000,RS,FEPAM,Arroio Telho,-32.461383,-53.452506,64.471174,,,70.219743,,,73.54863,,
6,88365000,RS,FEPAM,Lagoa Mirim,-32.33441,-52.82341,74.163523,,,79.455157,,,84.700682,,
7,88399000 ou GER62,RS,FEPAM,Arroio Grande,-32.33091,-52.92609,62.166941,,,64.146668,,,66.339907,,
8,88300800,RS,FEPAM,Rio Jaguarão,-32.287611,-53.656425,68.217024,,,74.646138,,,81.075251,,
9,88370100,RS,FEPAM,Arroio Grande,-32.239355,-53.090063,66.098213,,,69.819234,,,73.201891,,
10,88397000,RS,FEPAM,Arroio Grande,-32.185957,-53.192283,67.568796,,,71.132838,,,73.273759,,
11,88188000,RS,FEPAM,Arroio Do Bote,-32.163733,-53.628643,72.618883,,,75.358937,,,76.792593,,
12,88710000,RS,FEPAM,Canal De Sao Gonçalo,-32.120413,-52.599795,73.74476,,,77.92186,,,84.4924,,
13,87993000 ou GER64,RS,FEPAM,Arroio Bolaxa,-32.11308,-52.15746,63.563567,,,68.272109,,,72.320401,,
14,87991000 ou GER65,RS,FEPAM,Saco da Mangueira,-32.05912,-52.08815,62.455612,,,69.888369,,,75.278246,,
15,87992000 ou GER67,RS,FEPAM,Estuário L. Patos,-32.03311,-52.19883,67.720195,,,72.815736,,,75.712811,,
16,88187000,RS,FEPAM,Arroio Caracá,-31.98789,-53.38189,68.695218,,,75.112972,,,79.266886,,
17,88184000,RS,FEPAM,Rio Jaguarão,-31.9654,-53.9143,65.528063,,,70.608766,,,75.689469,,
18,87970000 ou GER66,RS,FEPAM,Estuário L. Patos,-31.91459,-52.15083,63.174635,,,67.799074,,,71.397122,,
19,88644000 ou GER45,RS,FEPAM,Rio Piratini,-31.90085,-52.66275,65.806967,,,71.539014,,,78.694104,,
20,88185500,RS,FEPAM,Arroio Jaguarão-Chico,-31.875312,-54.054511,56.639927,,,62.56427,,,68.232813,,
21,88643000,RS,FEPAM,Rio Piratini,-31.8603,-52.816798,70.831836,,,74.739235,,,76.4726,,
22,88690000 ou GER46,RS,FEPAM,Canal São Gonçalo,-31.810833,-52.3875,68.064968,,,79.00071,,,83.077585,,
23,88840000 ou GER48,RS,FEPAM,Arroio Pelotas,-31.75583,-52.28553,61.144168,,,66.169476,,,78.05138,,
24,88549000 ou GER63,RS,FEPAM,Rio Piratini,-31.7158,-52.9004,69.961235,,,74.82443,,,76.98194,,
25,79440000,RS,FEPAM,Rio Negro,-31.651924,-54.436104,62.73044,,,67.85423,,,72.063815,,
26,88175600,RS,FEPAM,Arroio Candiota,-31.477002,-53.678373,65.030556,,,69.747076,,,74.463596,,
27,79210000,RS,FEPAM,Rio Negro,-31.476271,-54.138761,67.072872,,,68.910553,,,70.748234,,
28,87929000 ou GER49,RS,FEPAM,Arroio Turuçu,-31.41055,-52.16778,51.388532,,,69.396588,,,77.478214,,
29,79100000,RS,FEPAM,Arroio Baje,-31.376111,-54.097852,45.782254,,,55.495719,,,63.874978,,
30,87920700 ou GER50,RS,FEPAM,Arroio São Lourenço,-31.37425,-51.96674,52.154756,,,55.428109,,,58.701463,,
31,87420500 ou GER44,RS,FEPAM,Lagoa do Peixe,-31.33529,-51.06018,65.034174,,,70.29456,,,78.735115,,
32,87420350 ou GER43,RS,FEPAM,Lagoa do Peixe,-31.2603,-50.96778,68.017479,,,72.083213,,,77.749123,,
33,79430000,RS,FEPAM,Arroio Pirai,-31.256569,-54.328217,70.339406,,,73.796208,,,76.827243,,
34,"76220000 ou SM216,7",RS,FEPAM,Rio Santa Maria,-31.136677,-54.378202,70.416009,,,73.303475,,,77.076266,,
35,87914000 ou GER51,RS,FEPAM,Rio Camaquã,-31.12582,-51.78823,75.72968,,,78.9094,,,82.08912,,
36,87904000 ou GER53,RS,FEPAM,Rio Camaquã,-31.0111,-52.05226,50.725974,,,70.934646,,,81.564606,,
37,"76250500 ou SM242,0",RS,FEPAM,Rio Santa Maria,-30.974333,-54.687129,64.839154,,,67.775165,,,71.235178,,
38,87660000 ou GER58,RS,FEPAM,Rio Camaquã,-30.97337,-53.04623,67.82754,,,73.933742,,,78.590157,,
39,"76257000 ou TQZ13,4",RS,FEPAM,Rio Taquarembozinho,-30.973193,-54.439729,71.997291,,,74.33313,,,76.468056,,
40,87599000 ou GER60,RS,FEPAM,Arroio João Dias,-30.96417,-53.41734,74.082625,,,76.609862,,,79.209996,,
41,87420150 ou GER41,RS,FEPAM,Lagoa São Simão,-30.95239,-50.711107,86.220435,,,89.045348,,,93.406684,,
42,87510100 ou GER52,RS,FEPAM,Arroio Arambaré,-30.917839,-51.498877,50.788305,,,71.17115,,,82.654276,,
43,87868000 ou GER55,RS,FEPAM,Arroio Suti,-30.86489,-52.10991,52.417815,,,69.994452,,,76.138383,,
44,87585000 ou GER57,RS,FEPAM,Rio Camaquã,-30.86229,-53.61612,65.22534,,,70.595763,,,76.266756,,
45,87586000 ou ALSFGER58,RS,FEPAM,ARROIO DAS LAVRAS,-30.798173,-53.714216,52.691711,,,66.434351,,,73.67578,,
46,87420130 ou GER36,RS,FEPAM,Lagoa Figueira,-30.7947,-50.60411,83.190987,,,89.680301,,,95.050683,,
47,"76285000 ou IBFX39,8",RS,FEPAM,RIO IBICUÍ DA FAXINA,-30.792076,-55.20924,73.791945,,,75.285803,,,76.722919,,
48,77470000,RS,FEPAM,Rio Sarandi,-30.631579,-56.180642,82.06194,,,87.549482,,,93.615467,,
49,87420450 ou LBBACN,RS,FEPAM,LAGOA DOS BARROS,-30.538341,-50.419062,70.533227,,,81.626621,,,92.720014,,
50,"76289000 ou IBAR55,6",RS,FEPAM,RIO IBICUÍ DA ARMADA,-30.508336,-55.052708,67.723165,,,71.850705,,,75.843499,,
51,77495000,RS,FEPAM,Arroio Areal,-30.451919,-56.302664,74.00394,,,76.539333,,,81.428012,,
52,76299200,RS,FEPAM,Arroio Vacaquá,-30.446964,-55.053457,70.339973,,,72.193019,,,74.668229,,
53,77499000,RS,FEPAM,Rio Quarai,-30.392181,-56.455336,74.027993,,,76.373431,,,80.041306,,
54,87510060,RS,FEPAM,Arroio Ibacuru,-30.379619,-51.728983,50.89082,,,62.632385,,,74.37395,,
55,85466000,RS,FEPAM,Rio Vacacai,-30.360092,-54.312873,72.122482,,,74.489887,,,78.733577,,
56,87420300,RS,FEPAM,ARROIO RIBEIRINHO,-30.353471,-51.547331,61.882065,,,67.432064,,,70.723837,,
57,87510045 ou GER29,RS,FEPAM,Lagoa Rincão das Éguas,-30.31286,-50.29195,87.667406,,,91.853554,,,94.285561,,
58,87420100,RS,FEPAM,ARROIO DO RIBEIRO,-30.297809,-51.309906,56.446863,,,61.061115,,,66.585191,,
59,"76305000 ou SM27,8",RS,FEPAM,Rio Santa Maria,-30.262863,-54.883443,59.028009,,,68.557155,,,81.956335,,
60,85484000,RS,FEPAM,Rio Vacacai,-30.231986,-53.98553,70.854169,,,72.619857,,,75.732546,,
61,87510030 ou GER25,RS,FEPAM,Lagoa Cerquinha,-30.22638,-50.26472,83.921833,,,87.640984,,,90.934111,,
62,77591000,RS,FEPAM,Rio Quarai,-30.210723,-57.558069,71.180197,,,76.14019,,,79.345427,,
63,87510070,RS,FEPAM,ARROIO PETIM,-30.192175,-51.475649,66.794675,,,72.413748,,,74.910801,,
64,87510010 ou GER26,RS,FEPAM,Rio Capivari,-30.14363,-50.54819,54.275392,,,56.690398,,,62.512435,,
65,87317035 ou GER22,RS,FEPAM,Lagoa Fortaleza,-30.13804,-50.22864,84.449098,,,89.148836,,,94.028004,,
66,87390060,RS,FEPAM,Arroio dos Ratos,-30.129667,-51.731936,71.282987,,,75.256611,,,79.230235,,
67,"76410000 ou SAIC61,2",RS,FEPAM,Arroio Saicã,-30.129086,-55.246945,62.115478,,,70.063238,,,74.497139,,
68,77519800,RS,FEPAM,Arroio Garupa,-30.120652,-56.422277,78.522021,,,80.524081,,,83.097099,,
69,"76371000 ou CAC47,3",RS,FEPAM,Rio Cacequi,-30.107282,-54.63539,63.511175,,,66.650107,,,68.308585,,
70,85662000,RS,FEPAM,Arroio Pequiri,-30.092872,-52.73295,58.758929,,,62.23934,,,65.71975,,
