Código SH4,Descrição do produto exportado,Denominação nesse estudo
5201,"Algodão, não cardado nem penteado.",Algodão
5203,Algodão cardado ou penteado.,Algodão
1404,"Produtos vegetais não especificados nem compreendidos noutras posições, plumas de algodão.",Coprodutos do Algodão
5204,"Linhas para costurar, de algodão, mesmo acondicionadas para venda a varejo.",Coprodutos do Algodão
5205,"Fios de algodão (exceto linhas para costurar), contendo pelo menos 85%, em peso, de algodão, não acondicionados para venda a varejo.",Coprodutos do Algodão
5206,"Fios de algodão (exceto linhas para costurar), contendo menos de 85%, em peso, de algodão, não acondicionados para venda a varejo.",Coprodutos do Algodão
5207,"Fios de algodão (exceto linhas para costurar), acondicionados para venda a varejo.",Coprodutos do Algodão
5208,"Tecidos de algodão, contendo pelo menos 85%, em peso, de algodão, com peso não superior a 200 g/m2.",Coprodutos do Algodão
5209,"Tecidos de algodão, contendo pelo menos 85%, em peso, de algodão, com peso superior a 200 g/m2.",Coprodutos do Algodão
5210,"Tecidos de algodão, contendo menos de 85%, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso não superior a 200 g/m2.",Coprodutos do Algodão
5211,"Tecidos de algodão, contendo menos de 85%, em peso, de algodão, combinados, principal ou unicamente, com fibras sintéticas ou artificiais, com peso superior a 200 g/m2.",Coprodutos do Algodão
5212,Outros tecidos de algodão.,Coprodutos do Algodão
1701,"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido.",Açúcar
1702,"Outros açúcares, incluindo a lactose, maltose, glicose e frutose (levulose), quimicamente puras, no estado sólido.",Açúcar
1703,Melaços resultantes da extração ou refinação do açúcar.,Açúcar
2207,"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior 80% vol.",Álcool (Etanol)
901,"Café, mesmo torrado ou descafeinado.",Café em grãos
2101,"Extratos, essências e concentrados de café, chá ou de mate e preparações à base destes produtos ou à base de café, chá ou de mate.",Coprodutos do café
4702,Pasta química de madeira para dissolução.,Celulose
4703,"Pastas químicas de madeira à soda ou ao sulfato, exceto pastas para dissolução.",Celulose
