produto;classificao_produto;id_produto;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2022;10;ATACADO                                                     ;5,5
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2022;11;ATACADO                                                     ;4,67
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2022;12;ATACADO                                                     ;6,0
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;1;ATACADO                                                     ;6,83
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;2;ATACADO                                                     ;6,67
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;3;ATACADO                                                     ;6,83
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;4;ATACADO                                                     ;7,0
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;5;ATACADO                                                     ;7,0
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;6;ATACADO                                                     ;6,0
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;7;ATACADO                                                     ;6,0
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;8;ATACADO                                                     ;6,6
ABACATE                  ;NÃO INFORMADO       ;4618;RR        ;NORTE          ;2023;9;ATACADO                                                     ;7,0
ABACAXI                  ;PÉROLA              ;6320;AC        ;NORTE          ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,3
ABACAXI                  ;PÉROLA              ;6320;AL        ;NORDESTE       ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,16
ABACAXI                  ;PÉROLA              ;6320;AM        ;NORTE          ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,53
ABACAXI                  ;PÉROLA              ;6320;AP        ;NORTE          ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,25
ABACAXI                  ;PÉROLA              ;6320;BA        ;NORDESTE       ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,58
ABACAXI                  ;PÉROLA              ;6320;CE        ;NORDESTE       ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;4,17
ABACAXI                  ;PÉROLA              ;6320;DF        ;CENTRO-OESTE   ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,8
ABACAXI                  ;PÉROLA              ;6320;ES        ;SUDESTE        ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,65
ABACAXI                  ;PÉROLA              ;6320;GO        ;CENTRO-OESTE   ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,9
ABACAXI                  ;PÉROLA              ;6320;MG        ;SUDESTE        ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,57
ABACAXI                  ;PÉROLA              ;6320;MT        ;CENTRO-OESTE   ;2022;10;ATACADO                                                     ;2,96
ABACAXI                  ;PÉROLA              ;6320;PA        ;NORTE          ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,67
ABACAXI                  ;PÉROLA              ;6320;PB        ;NORDESTE       ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,51
ABACAXI                  ;PÉROLA              ;6320;PE        ;NORDESTE       ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,8
ABACAXI                  ;HAVAÍ               ;6319;PR        ;SUL            ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,83
ABACAXI                  ;PÉROLA              ;6320;RJ        ;SUDESTE        ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,48
ABACAXI                  ;PÉROLA              ;6320;RN        ;NORDESTE       ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,41
ABACAXI                  ;PÉROLA              ;6320;RO        ;NORTE          ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,71
ABACAXI                  ;NÃO INFORMADO       ;4619;RR        ;NORTE          ;2022;10;ATACADO                                                     ;2,0
ABACAXI                  ;PÉROLA              ;6320;RR        ;NORTE          ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,12
ABACAXI                  ;PÉROLA              ;6320;SE        ;NORDESTE       ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;0,66
ABACAXI                  ;PÉROLA              ;6320;TO        ;NORTE          ;2022;10;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,0
ABACAXI                  ;PÉROLA              ;6320;AC        ;NORTE          ;2022;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;2,3
ABACAXI                  ;PÉROLA              ;6320;AL        ;NORDESTE       ;2022;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;1,26
ABACAXI                  ;PÉROLA              ;6320;AM        ;NORTE          ;2022;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,78
ABACAXI                  ;PÉROLA              ;6320;AP        ;NORTE          ;2022;11;PREÇO RECEBIDO P/ PRODUTOR                                  ;3,21
