id,Cod IBGE,UF,Município,População Estimada - 2017
1,2700102,AL,ÁGUA BRANCA,20467
2,2700300,AL,ARAPIRACA,234185
3,2700706,AL,BATALHA,18757
4,2700904,AL,BELO MONTE,6797
5,2701209,AL,CACIMBINHAS,10897
6,2701605,AL,CANAPI,17983
7,2701803,AL,CARNEIROS,9155
8,2702009,AL,COITÉ DO NÓIA,10888
9,2702355,AL,CRAÍBAS,24510
10,2702405,AL,DELMIRO GOUVEIA,52597
11,2702504,AL,DOIS RIACHOS,11214
12,2702553,AL,ESTRELA DE ALAGOAS,18435
13,2702900,AL,GIRAU DO PONCIANO,41279
14,2703106,AL,IGACI,26022
15,2703304,AL,INHAPI,18652
16,2703403,AL,JACARÉ DOS HOMENS,5356
17,2703700,AL,JARAMATAIA,5676
18,2704104,AL,LAGOA DA CANOA,18175
19,2704401,AL,MAJOR ISIDORO,20200
20,2704609,AL,MARAVILHA,9418
21,2705002,AL,MATA GRANDE,25589
22,2705309,AL,MINADOR DO NEGRÃO,5413
23,2705408,AL,MONTEIRÓPOLIS,7260
24,2705705,AL,OLHO D'ÁGUA DAS FLORES,21767
25,2705804,AL,OLHO D'ÁGUA DO CASADO,9459
26,2706000,AL,OLIVENÇA,11772
27,2706109,AL,OURO BRANCO,11635
28,2706208,AL,PALESTINA,5066
29,2706307,AL,PALMEIRA DOS ÍNDIOS,74208
30,2706406,AL,PÃO DE AÇÚCAR,24792
31,2706422,AL,PARICONHA,10684
32,2707107,AL,PIRANHAS,25298
33,2707206,AL,POÇO DAS TRINCHEIRAS,14575
34,2707602,AL,QUEBRANGULO,11496
35,2708006,AL,SANTANA DO IPANEMA,48232
36,2708402,AL,SÃO JOSÉ DA TAPERA,32626
37,2708956,AL,SENADOR RUI PALMEIRA,14036
38,2709202,AL,TRAIPU,28070
39,2900108,BA,ABAÍRA,9199
40,2900207,BA,ABARÉ,20189
41,2900355,BA,ADUSTINA,17349
42,2900405,BA,ÁGUA FRIA,17508
43,2901007,BA,AMARGOSA,38259
44,2901155,BA,AMÉRICA DOURADA,16798
45,2901205,BA,ANAGÉ,19568
46,2901304,BA,ANDARAÍ,13737
47,2901353,BA,ANDORINHA,15490
48,2901403,BA,ANGICAL,14690
49,2901502,BA,ANGUERA,11481
50,2901601,BA,ANTAS,19569
51,2901700,BA,ANTÔNIO CARDOSO,12208
52,2901809,BA,ANTÔNIO GONÇALVES,12072
53,2902005,BA,ARACATU,13962
54,2902104,BA,ARACI,55935
55,2902500,BA,BAIANÓPOLIS,14323
56,2902609,BA,BAIXA GRANDE,21403
57,2902658,BA,BANZAÊ,13765
58,2902708,BA,BARRA,54915
59,2902807,BA,BARRA DA ESTIVA,22082
60,2902906,BA,BARRA DO CHOÇA,34121
61,2903003,BA,BARRA DO MENDES,14560
62,2903201,BA,BARREIRAS,157638
63,2903235,BA,BARRO ALTO,15217
64,2903276,BA,BARROCAS,16296
65,2903508,BA,BELO CAMPO,18247
66,2903607,BA,BIRITINGA,16653
67,2903706,BA,BOA NOVA,14069
68,2903805,BA,BOA VISTA DO TUPIM,19502
69,2903904,BA,BOM JESUS DA LAPA,70618
70,2903953,BA,BOM JESUS DA SERRA,10477
71,2904001,BA,BONINAL,14760
72,2904050,BA,BONITO,17131
73,2904100,BA,BOQUIRA,22464
74,2904209,BA,BOTUPORÃ,10898
75,2904308,BA,BREJÕES,15122
76,2904407,BA,BREJOLÂNDIA,10833
77,2904506,BA,BROTAS DE MACAÚBAS,10974
78,2904605,BA,BRUMADO,69677
