"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Valor da produção (Mil Reais)"
"Brasil e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil e Município";"2020";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2021";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2022"
"Brasil e Município";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Brasil";"...";"-";"19127892";"1606571";"8568577";"1014523";"5461742";"3228804";"27284219";"22582460";"4701760";"...";"448305";"576805";"97199";"10780677";"94651";"37088";"2933";"10689";"94723";"10896746";"1805947";"1769264";"641016";"72423545";"44288";"1066084";"169132781";"1415982";"6078903";"6773777";"31726";"269";"49091";"3627429";"...";"-";"26473032";"2645248";"9993648";"1251949";"5483747";"3972806";"34829901";"26836549";"7993352";"...";"476588";"723667";"61642";"12051858";"139769";"39917";"73";"7859";"104710";"12760013";"1953114";"1844638";"628352";"116141528";"74124";"1799681";"340835793";"2689697";"6479154";"11004368";"112629";"508";"69551";"4266464";"...";"-";"33134873";"2584944";"11918249";"1413645";"6728524";"3486143";"51813884";"39470662";"12343222";"...";"588963";"846541";"90396";"12374460";"152098";"45779";"78";"8730";"77155";"15298408";"2074489";"1882802";"877273";"137743946";"71728";"1554720";"345422469";"2910545";"8656263";"15696828";"165207";"324";"96653";"4536903"
"Água Doce do Maranhão (MA)";"...";"-";"-";"-";"38";"-";"-";"-";"-";"-";"-";"...";"126";"-";"-";"31";"-";"-";"-";"-";"-";"679";"2";"-";"-";"328";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"44";"-";"-";"-";"-";"-";"-";"...";"138";"-";"-";"24";"-";"-";"-";"-";"-";"1454";"-";"-";"-";"288";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"...";"149";"-";"-";"62";"-";"-";"-";"-";"-";"2053";"-";"-";"-";"366";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Araioses (MA)";"...";"-";"-";"-";"53";"-";"-";"-";"-";"-";"-";"...";"228";"-";"-";"265";"-";"-";"-";"-";"-";"1656";"-";"-";"-";"93";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"56";"-";"-";"-";"-";"-";"-";"...";"246";"-";"-";"256";"-";"-";"-";"-";"-";"4805";"-";"32";"-";"100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"110";"-";"-";"-";"-";"-";"-";"...";"476";"-";"-";"428";"-";"-";"-";"-";"-";"5216";"-";"-";"-";"215";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barão de Grajaú (MA)";"...";"-";"-";"-";"69";"-";"-";"-";"-";"-";"-";"...";"57";"-";"52";"192";"-";"-";"-";"-";"-";"156";"-";"92";"-";"569";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"90";"-";"-";"-";"-";"-";"-";"...";"76";"-";"53";"356";"-";"-";"-";"-";"-";"146";"-";"76";"-";"656";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"110";"-";"-";"-";"-";"-";"-";"...";"91";"-";"64";"373";"-";"-";"-";"-";"-";"167";"-";"78";"-";"786";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo (MA)";"...";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"...";"40";"-";"-";"120";"-";"-";"-";"-";"-";"1599";"-";"-";"-";"3233";"-";"-";"78517";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"18";"-";"-";"-";"-";"-";"-";"...";"52";"-";"-";"138";"-";"-";"-";"-";"-";"1794";"-";"-";"-";"3095";"-";"-";"84309";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"21";"-";"-";"81";"-";"-";"-";"-";"-";"1870";"-";"-";"-";"1035";"-";"-";"78974";"-";"-";"-";"-";"-";"-";"-"
"Buriti (MA)";"...";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"...";"30";"-";"-";"151";"-";"-";"-";"-";"-";"1596";"-";"-";"-";"1240";"-";"-";"63198";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"19";"-";"-";"-";"-";"-";"-";"...";"42";"-";"-";"140";"-";"-";"-";"-";"-";"1474";"-";"-";"-";"1268";"-";"-";"74474";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"17";"-";"-";"-";"-";"-";"-";"...";"8";"-";"-";"133";"-";"-";"-";"-";"-";"1716";"-";"-";"-";"973";"-";"-";"66955";"-";"-";"-";"-";"-";"-";"-"
"Caxias (MA)";"...";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"...";"5";"-";"-";"505";"-";"-";"-";"-";"-";"287";"-";"28";"-";"800";"-";"-";"17046";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"27";"-";"-";"-";"-";"-";"-";"...";"10";"-";"-";"575";"-";"-";"-";"-";"-";"412";"-";"27";"-";"1476";"-";"-";"36807";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"...";"18";"-";"-";"785";"-";"-";"-";"-";"-";"420";"-";"21";"-";"4290";"-";"-";"74193";"-";"-";"-";"-";"-";"-";"-"
"Magalhães de Almeida (MA)";"...";"-";"-";"-";"43";"-";"-";"-";"-";"-";"-";"...";"56";"-";"-";"350";"-";"-";"-";"-";"-";"1797";"4";"-";"-";"944";"-";"-";"15185";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"52";"-";"-";"-";"-";"-";"-";"...";"88";"-";"-";"360";"-";"-";"-";"-";"-";"2793";"-";"-";"-";"2231";"-";"-";"20258";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"152";"-";"-";"-";"-";"-";"-";"...";"160";"-";"-";"680";"-";"-";"-";"-";"-";"3175";"-";"-";"-";"2149";"-";"-";"24780";"-";"-";"-";"-";"-";"-";"-"
"Matões (MA)";"...";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"...";"42";"-";"-";"1024";"-";"-";"-";"-";"-";"1241";"-";"113";"-";"544";"-";"-";"2958";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-";"...";"86";"-";"-";"1004";"-";"-";"-";"-";"-";"4425";"-";"122";"-";"4019";"-";"-";"42240";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"38";"-";"-";"-";"-";"-";"-";"...";"88";"-";"-";"1470";"-";"-";"-";"-";"-";"7314";"-";"-";"-";"6120";"-";"-";"55440";"-";"-";"-";"-";"-";"-";"-"
"Milagres do Maranhão (MA)";"...";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-";"...";"22";"-";"-";"256";"-";"-";"-";"-";"-";"843";"-";"-";"-";"147";"-";"-";"24291";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"62";"-";"-";"-";"-";"-";"-";"...";"17";"-";"-";"191";"-";"-";"-";"-";"-";"944";"-";"-";"-";"124";"-";"-";"24083";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"55";"-";"-";"-";"-";"-";"-";"...";"16";"-";"-";"126";"-";"-";"-";"-";"-";"932";"-";"-";"-";"127";"-";"-";"23585";"-";"-";"-";"-";"-";"-";"-"
"Parnarama (MA)";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"11";"-";"-";"1103";"-";"-";"-";"-";"-";"931";"-";"114";"-";"1358";"-";"-";"41078";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"...";"17";"-";"-";"775";"-";"-";"-";"-";"-";"1552";"-";"120";"-";"3920";"-";"-";"96448";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"84";"-";"-";"1231";"-";"-";"-";"-";"-";"1916";"-";"-";"-";"7800";"-";"-";"106400";"-";"-";"-";"-";"-";"-";"-"
"Santa Quitéria do Maranhão (MA)";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"52";"-";"-";"327";"-";"-";"-";"-";"-";"644";"5";"-";"-";"822";"-";"-";"13453";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"...";"41";"-";"-";"266";"-";"-";"-";"-";"-";"1541";"-";"-";"-";"1000";"-";"-";"24145";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"53";"-";"-";"767";"-";"-";"-";"-";"-";"2154";"-";"-";"-";"2639";"-";"-";"29673";"-";"-";"-";"-";"-";"-";"-"
"Santana do Maranhão (MA)";"...";"-";"-";"-";"11";"-";"-";"-";"-";"-";"-";"...";"36";"-";"-";"271";"-";"-";"-";"-";"-";"713";"-";"-";"-";"222";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"12";"-";"-";"-";"-";"-";"-";"...";"48";"-";"-";"244";"-";"-";"-";"-";"-";"1283";"-";"-";"-";"193";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"27";"-";"-";"-";"-";"-";"-";"...";"76";"-";"-";"488";"-";"-";"-";"-";"-";"1583";"-";"-";"-";"392";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"São Bernardo (MA)";"...";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"...";"48";"-";"-";"312";"-";"-";"-";"-";"-";"724";"5";"-";"-";"1886";"-";"-";"6162";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"22";"-";"-";"-";"-";"-";"-";"...";"61";"-";"-";"251";"-";"-";"-";"-";"-";"1757";"-";"-";"-";"1462";"-";"-";"10725";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"33";"-";"-";"-";"-";"-";"-";"...";"96";"-";"-";"472";"-";"-";"-";"-";"-";"2028";"-";"-";"-";"3793";"-";"-";"15298";"-";"-";"-";"-";"-";"-";"-"
"São Francisco do Maranhão (MA)";"...";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"...";"12";"-";"37";"323";"-";"-";"-";"-";"-";"46";"-";"39";"-";"1758";"-";"-";"3298";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"31";"-";"-";"-";"-";"-";"-";"...";"12";"-";"39";"403";"-";"-";"-";"-";"-";"51";"-";"46";"-";"3440";"-";"-";"10003";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"21";"-";"-";"-";"-";"-";"-";"...";"13";"-";"39";"280";"-";"-";"-";"-";"-";"55";"-";"54";"-";"2009";"-";"-";"6439";"-";"-";"-";"-";"-";"-";"-"
"Timon (MA)";"...";"-";"-";"-";"1239";"-";"-";"-";"-";"-";"-";"...";"199";"-";"-";"1211";"-";"-";"-";"-";"-";"437";"-";"125";"-";"330";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1086";"-";"-";"-";"-";"-";"-";"...";"229";"-";"-";"1190";"-";"-";"-";"-";"-";"904";"-";"132";"-";"720";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1800";"-";"-";"-";"-";"-";"-";"...";"880";"-";"-";"1698";"-";"-";"-";"-";"-";"1485";"-";"-";"-";"1100";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Tutóia (MA)";"...";"-";"-";"-";"34";"-";"-";"-";"-";"-";"-";"...";"63";"-";"-";"430";"-";"-";"-";"-";"-";"2327";"-";"-";"-";"439";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"45";"-";"-";"-";"-";"-";"-";"...";"77";"-";"-";"470";"-";"-";"-";"-";"-";"3896";"-";"-";"-";"441";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"91";"-";"-";"-";"-";"-";"-";"...";"180";"-";"-";"795";"-";"-";"-";"-";"-";"5938";"-";"-";"-";"806";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Acauã (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"3021";"-";"-";"-";"-";"-";"12";"-";"-";"-";"1696";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"4573";"-";"-";"-";"-";"-";"28";"-";"-";"-";"1011";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1036";"-";"-";"-";"-";"-";"30";"-";"-";"-";"795";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Agricolândia (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"84";"-";"50";"205";"-";"-";"-";"-";"-";"25";"-";"-";"-";"933";"-";"-";"3798";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"125";"-";"75";"245";"-";"-";"-";"-";"-";"53";"-";"-";"-";"921";"-";"-";"8324";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"45";"-";"18";"160";"-";"-";"-";"-";"-";"20";"-";"-";"-";"2593";"-";"-";"6240";"-";"-";"-";"-";"-";"-";"-"
"Água Branca (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"7";"-";"22";"312";"-";"-";"-";"-";"-";"70";"-";"489";"-";"544";"-";"-";"-";"-";"372";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"18";"-";"24";"377";"-";"-";"-";"-";"-";"96";"-";"518";"-";"573";"-";"-";"-";"-";"600";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"27";"-";"24";"168";"-";"-";"-";"-";"-";"48";"-";"225";"-";"489";"-";"-";"-";"-";"450";"-";"-";"-";"-";"-"
"Alagoinha do Piauí (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"781";"-";"-";"5328";"-";"-";"-";"-";"-";"64";"-";"-";"-";"1688";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"1020";"-";"-";"1707";"-";"-";"-";"-";"-";"110";"-";"-";"-";"1435";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"918";"-";"-";"7355";"-";"-";"-";"-";"-";"154";"-";"-";"-";"1313";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alegrete do Piauí (PI)";"...";"-";"86";"-";"-";"-";"-";"-";"-";"-";"-";"...";"8";"-";"60";"6213";"-";"-";"-";"-";"-";"-";"-";"333";"-";"3888";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"17";"-";"-";"-";"-";"-";"-";"-";"-";"...";"7";"-";"38";"1650";"-";"-";"-";"-";"-";"-";"-";"295";"-";"1724";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"20";"-";"-";"-";"-";"-";"-";"-";"-";"...";"7";"-";"20";"1215";"-";"-";"-";"-";"-";"-";"-";"570";"-";"6001";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alto Longá (PI)";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"434";"-";"-";"1400";"-";"-";"-";"-";"-";"338";"-";"1613";"-";"961";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"217";"-";"-";"2112";"-";"-";"-";"-";"-";"708";"-";"1512";"-";"1225";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"129";"-";"-";"941";"-";"-";"-";"-";"-";"406";"-";"1596";"-";"1298";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Altos (PI)";"...";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"...";"31";"-";"25";"651";"-";"-";"-";"-";"-";"380";"169";"2486";"-";"350";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-";"...";"18";"-";"26";"924";"-";"-";"-";"-";"-";"403";"314";"2545";"-";"599";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"27";"-";"-";"-";"-";"-";"-";"...";"56";"-";"36";"1093";"-";"-";"-";"-";"-";"428";"356";"2925";"-";"778";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Alvorada do Gurguéia (PI)";"...";"-";"-";"-";"960";"-";"-";"-";"-";"-";"-";"...";"10";"-";"-";"221";"-";"-";"-";"-";"-";"336";"-";"320";"-";"7449";"-";"-";"9622";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"738";"-";"-";"-";"-";"-";"-";"...";"13";"-";"-";"453";"-";"-";"-";"-";"-";"379";"-";"820";"-";"7683";"-";"-";"19471";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"1260";"-";"-";"-";"-";"-";"-";"...";"14";"-";"-";"422";"-";"-";"-";"-";"-";"432";"-";"900";"-";"14202";"-";"-";"19795";"184";"-";"-";"-";"-";"-";"-"
"Amarante (PI)";"...";"-";"-";"-";"380";"-";"-";"-";"-";"-";"-";"...";"257";"-";"83";"1123";"-";"-";"-";"-";"-";"2145";"218";"-";"-";"1913";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"413";"-";"-";"-";"-";"-";"-";"...";"480";"-";"85";"1353";"-";"-";"-";"-";"-";"2513";"238";"-";"-";"3123";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"618";"-";"-";"-";"-";"-";"-";"...";"537";"-";"80";"1178";"-";"-";"-";"-";"-";"1786";"311";"-";"-";"2400";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Angical do Piauí (PI)";"...";"-";"-";"-";"537";"-";"-";"-";"-";"-";"-";"...";"18";"-";"76";"112";"-";"-";"-";"-";"-";"194";"-";"-";"-";"553";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"468";"-";"-";"-";"-";"-";"-";"...";"35";"-";"70";"136";"-";"-";"-";"-";"-";"246";"-";"-";"-";"1004";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"814";"-";"-";"-";"-";"-";"-";"...";"65";"-";"108";"193";"-";"-";"-";"-";"-";"192";"-";"-";"-";"1440";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
