COD Municipio;Cidade;COD UF;UF;Total de escolas federais;Total de escolas estaduais;Total de escolas municipais;Total de escolas privadas;Total de escolas sem creche;Total de escolas com creche;Escolas que não funcionam em prédio escolar;Escolas que funcionam em prédio escolar;Total de escolas que não funcionam em unidade de atendimento socio educativo;Total de escolas que funcionam em unidade de atendimento socio educativo;Total de escolas que não funcionam em unidade prisional;Total de escolas que funcionam em unidade prisional;Total de escolas que não funcionam em galpão / rancho / paiol / barracão;Total de escolas que funcionam em galpão / rancho / paiol / barracão;Total de escolas que não funcionam em salas de outra escola;Total de escolas que funcionam em salas de outra escola;Total de escolas que não funcionam em outros locais;Total de escolas que funcionam em outros locais;Total de escolas que não tem abastecimento de água da rede pública;Total de escolas que tem abastecimento de água da rede pública;Total de escolas que não não possuem abastecimento de água;Total de escolas que não possuem abastecimento de água;Total de escolas que não possuem energia elétrica da rede pública;Total de escolas que possuem energia elétrica da rede pública;Total de escolas que não não possuem energia elétrica;Total de escolas que não possuem energia elétrica;Total de matrículas;Total de docentes;Total de docentes em Creche;Total de docentes em Pré-escola;Total de docentes em 1ª Série;Total de docentes em 2ª Série;Total de docentes em 3ª Série;Total de docentes em 4ª Série;Total de docentes em 5ª Série;Total de docentes em 6ª Série;Total de docentes em 7ª Série;Total de docentes em 8ª Série;Total de docentes em 1º Ano;Total de docentes em 2º Ano;Total de docentes em 3º Ano;Total de docentes em 4º Ano;Total de docentes em 5º Ano;Total de docentes em 6º Ano;Total de docentes em 7º Ano;Total de docentes em 8º Ano;Total de docentes em 9º Ano;Total de docentes em 1º ano/1ª Série;Total de docentes em 2º ano/2ª Série;Total de docentes em 3ºano/3ª Série;Total de docentes em 4º ano/4ª Série;Total de docentes em Nao Seriada;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 1ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 2ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 3ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 4ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) Nao Seriada;Total de docentes em Modalidade Normal/Magistério 1ª Série;Total de docentes em Modalidade Normal/Magistério 2ª Série;Total de docentes em Modalidade Normal/Magistério 3ª Série;Total de docentes em Modalidade Normal/Magistério 4ª Série;Total de docentes em Concomitante;Total de docentes em Subsequente;Total de docentes em Ensino Fundamental - Projovem Urbano;Total de docentes em Nível Médio;Total de docentes em Curso FIC Concomitante;Total de docentes em Ensino Fundamental - Anos Iniciais;Total de docentes em Ensino Fundamental - Anos Finais;Total de docentes em Ensino Médio;Total de docentes em Nível Fundamental (EJA integrada à Educação Profissional de Nível Fundamental);Total de docentes em Curso Técnico Integrado na Modalidade EJA (EJA integrada à Educação Profissional de Nível Médio);Total de docentes em Nao aplicável para turmas de atendimento educacional especializado (AEE) e atividade complementar
2507507;João Pessoa;25;PB;4,0;105,0;184,0;174,0;272;195,0;1,0;466;466;1,0;466;1,0;466;1,0;461;6,0;452;15,0;9,0;458,0;467;;1,0;466;467;;169336;7592;542,0;812;;;;;;;;;890;884,0;922;920;921;1664,0;1731,0;1742,0;1824;1215,0;1321,0;1285,0;;;537,0;456,0;377,0;83,0;;;;;;4,0;166,0;;;1,0;394,0;776,0;617,0;;;
2207702;Parnaíba;22;PI;1,0;18,0;90,0;34,0;82;61,0;3,0;140;143;;142;1,0;142;1,0;141;2,0;137;6,0;18,0;125,0;132;11,0;;143;143;;38350;1667;120,0;222;;;;;;;;;157;177,0;184;179;191;406,0;399,0;378,0;344;297,0;280,0;251,0;;;67,0;69,0;55,0;;;;;;;25,0;34,0;;;2,0;40,0;191,0;141,0;;26,0;
2412005;São Gonçalo do Amarante;24;RN;1,0;11,0;54,0;29,0;66;29,0;1,0;94;95;;95;;95;;93;2,0;90;5,0;2,0;93,0;95;;;95;95;;24709;1055;80,0;161;;;;;;;;;92;89,0;102;107;106;231,0;233,0;234,0;227;136,0;134,0;113,0;;;48,0;48,0;48,0;23,0;;;;;;;19,0;;;;13,0;76,0;;;;
2302800;Canindé;23;CE;1,0;7,0;81,0;10,0;32;67,0;2,0;97;99;;99;;98;1,0;91;8,0;86;13,0;39,0;60,0;96;3,0;1,0;98;99;;20928;789;132,0;114;;;;;;;;;49;60,0;71;78;106;155,0;163,0;168,0;148;92,0;94,0;91,0;;;19,0;20,0;21,0;;37,0;;;;;;12,0;;;;10,0;27,0;25,0;;;
2110104;Santa Quitéria do Maranhão;21;MA;;2,0;72,0;5,0;70;9,0;5,0;74;79;;79;;74;5,0;78;1,0;71;8,0;49,0;30,0;58;21,0;;79;79;;8861;572;4,0;90;;;;;;;;;23;18,0;20;22;30;154,0;152,0;157,0;148;68,0;77,0;71,0;;;;;;;;;;;;;3,0;;;;18,0;15,0;16,0;;;
2503704;Cajazeiras;25;PB;2,0;12,0;26,0;21,0;29;32,0;1,0;60;61;;60;1,0;61;;59;2,0;46;15,0;11,0;50,0;61;;;61;61;;19742;860;67,0;73;;;;;;;;;48;55,0;59;51;53;186,0;200,0;211,0;206;133,0;136,0;114,0;;;64,0;69,0;70,0;28,0;;10,0;12,0;8,0;4,0;;64,0;;10,0;10,0;26,0;62,0;67,0;10,0;24,0;
2910057;Dias d'Ávila;29;BA;;3,0;32,0;30,0;31;34,0;;65;65;;65;;64;1,0;63;2,0;63;2,0;1,0;64,0;65;;;65;65;;20542;751;85,0;105;;;;;;;;;85;92,0;101;87;88;143,0;152,0;143,0;134;98,0;88,0;90,0;;;18,0;16,0;13,0;10,0;;;;;;;22,0;;;;17,0;27,0;27,0;;12,0;
2917607;Jaguaquara;29;BA;;5,0;50,0;8,0;29;34,0;;63;63;;63;;63;;62;1,0;62;1,0;31,0;32,0;62;1,0;1,0;62;62;1,0;13886;560;35,0;60;;;;;;;;;35;31,0;42;36;59;149,0;167,0;163,0;163;103,0;95,0;89,0;;;41,0;23,0;21,0;15,0;;;;;;;20,0;;;;9,0;19,0;22,0;;28,0;
2606804;Igarassu;26;PE;1,0;10,0;48,0;26,0;65;20,0;1,0;84;85;;84;1,0;85;;85;;81;4,0;15,0;70,0;85;;;85;85;;26853;1035;38,0;149;;;;;;;;;114;122,0;130;126;125;216,0;225,0;219,0;206;112,0;100,0;105,0;;22,0;18,0;19,0;17,0;;;;;;;;25,0;;;4,0;30,0;82,0;59,0;;;
2803500;Lagarto;28;SE;1,0;11,0;76,0;14,0;44;58,0;1,0;101;102;;102;;102;;98;4,0;96;6,0;29,0;73,0;102;;;102;102;;24538;1177;145,0;146;;;;;;;;;93;94,0;106;107;210;304,0;302,0;288,0;264;117,0;119,0;106,0;;;23,0;15,0;16,0;;;;;;;;8,0;;;;15,0;96,0;21,0;8,0;;
