Código,Município,UF,Arroz Inundado,Café,Cana-de-Açúcar Irrigada,"Outras Culturas em Pivôs Centrais (exceto arroz, café e cana)","Pivôs Centrais - Total (considerando sobreposição com arroz, café e cana)",Outras culturas e sistemas,Área Total Irrigada,Cana-de-Açúcar Fertirrigada,Área Total (Irrigada e Fertirrigada),Grupo Predominante no Município,Sistema Predominante no Município,AAI com água superficial em agricultura de sequeiro,AAI com água superficial em pastagem,AAI com água subterrânea,AAI - Potencial Total,AAI - Potencial Efetivo
1100015,Alta Floresta D'Oeste,RO,0,"5,382",0,0,0,"3,203","8,585",0,"8,585",Café,Localizada,745,"32,412","1,376","34,533",0
1100023,Ariquemes,RO,0,31,0,0,0,148,179,0,179,Outras culturas e sistemas,Aspersão - Outros,"3,398","70,804","4,378","78,581",0
1100031,Cabixi,RO,0,25,0,533,533,0,558,0,558,Pivôs centrais,Aspersão - Pivôs Centrais,"12,616","13,885","1,049","27,550",0
1100049,Cacoal,RO,0,"6,818",0,0,0,"3,934","10,752",0,"10,752",Café,Aspersão - Outros,"1,619","51,490","1,461","54,571",0
1100056,Cerejeiras,RO,0,20,0,0,0,892,912,0,912,Outras culturas e sistemas,Aspersão - Outros,"4,309","1,636",524,"6,470",0
1100064,Colorado do Oeste,RO,0,14,0,0,0,257,271,0,271,Outras culturas e sistemas,Localizada,"3,666","12,613","1,129","17,408",0
1100072,Corumbiara,RO,0,20,0,0,0,159,179,0,179,Outras culturas e sistemas,Outros ou sem predominância,"10,264","2,394",973,"13,631",0
1100080,Costa Marques,RO,0,3,0,0,0,70,73,0,73,Outras culturas e sistemas,Outros ou sem predominância,2,"38,362",34,"38,397",0
1100098,Espigão D'Oeste,RO,0,877,0,0,0,159,"1,036",0,"1,036",Café,Superficial,"1,131","36,537","2,221","39,889",8
1100106,Guajará-Mirim,RO,0,0,0,0,0,202,202,0,202,Outras culturas e sistemas,Localizada,0,"42,103",0,"42,103",0
1100114,Jaru,RO,0,100,0,0,0,121,221,0,221,Outras culturas e sistemas,Localizada,37,"51,495",848,"52,379",0
1100122,Ji-Paraná,RO,0,0,0,0,0,324,324,0,324,Outras culturas e sistemas,Localizada,157,"59,050","1,226","60,433",9
1100130,Machadinho D'Oeste,RO,0,210,0,0,0,322,532,0,532,Outras culturas e sistemas,Localizada,"2,916","69,610","3,332","75,858",0
1100148,Nova Brasilândia D'Oeste,RO,0,"4,921",0,0,0,"3,653","8,574",0,"8,574",Café,Localizada,492,"16,147",922,"17,561",0
1100155,Ouro Preto do Oeste,RO,0,0,0,0,0,136,136,0,136,Outras culturas e sistemas,Aspersão - Outros,56,"17,172",575,"17,803",0
1100189,Pimenta Bueno,RO,0,49,0,0,0,85,134,0,134,Outras culturas e sistemas,Outros ou sem predominância,"5,307","93,594","6,997","105,898",0
1100205,Porto Velho,RO,0,0,0,0,0,259,259,0,259,Outras culturas e sistemas,Outros ou sem predominância,"5,203","492,960","7,870","506,034",0
1100254,Presidente Médici,RO,0,0,0,0,0,403,403,0,403,Outras culturas e sistemas,Localizada,57,"54,270",836,"55,162",0
1100262,Rio Crespo,RO,0,0,0,0,0,17,17,0,17,Outras culturas e sistemas,Outros ou sem predominância,"5,538","28,288","3,093","36,919",0
1100288,Rolim de Moura,RO,0,"1,068",0,0,0,486,"1,554",0,"1,554",Café,Localizada,"2,653","6,685",743,"10,080",0
1100296,Santa Luzia D'Oeste,RO,0,123,0,0,0,128,251,0,251,Outras culturas e sistemas,Outros ou sem predominância,"1,672","6,193",784,"8,648",0
1100304,Vilhena,RO,0,8,0,0,0,424,432,0,432,Outras culturas e sistemas,Localizada,"37,059","40,325","7,441","84,824",209
1100320,São Miguel do Guaporé,RO,0,"7,543",0,0,0,"2,035","9,578",0,"9,578",Café,Localizada,"3,926","20,708","1,345","25,978",0
1100338,Nova Mamoré,RO,0,50,0,0,0,601,651,0,651,Outras culturas e sistemas,Outros ou sem predominância,73,"155,061","2,592","157,727",0
1100346,Alvorada D'Oeste,RO,0,552,0,0,0,432,984,0,984,Café,Localizada,316,"19,655",816,"20,787",0
1100379,Alto Alegre dos Parecis,RO,0,"3,396",0,0,0,"3,136","6,532",0,"6,532",Café,Localizada,"1,215","9,290",831,"11,336",0
1100403,Alto Paraíso,RO,0,218,0,0,0,325,543,0,543,Outras culturas e sistemas,Aspersão - Outros,"3,360","59,162","3,712","66,234",0
1100452,Buritis,RO,0,"3,800",0,0,0,317,"4,117",0,"4,117",Café,Aspersão - Outros,89,"81,303","3,073","84,465",0
1100502,Novo Horizonte do Oeste,RO,0,"1,906",0,0,0,774,"2,680",0,"2,680",Café,Localizada,"1,204","3,647",337,"5,188",0
1100601,Cacaulândia,RO,0,0,0,0,0,11,11,0,11,Outras culturas e sistemas,Localizada,24,"19,273",338,"19,635",0
1100700,Campo Novo de Rondônia,RO,0,123,0,0,0,32,155,0,155,Café,Localizada,140,"56,680","4,282","61,102",0
1100809,Candeias do Jamari,RO,0,0,0,0,0,882,882,0,882,Outras culturas e sistemas,Outros ou sem predominância,"2,231","88,733","5,647","96,612",0
1100908,Castanheiras,RO,0,50,0,0,0,158,208,0,208,Outras culturas e sistemas,Localizada,826,"11,914",388,"13,128",0
1100924,Chupinguaia,RO,0,44,0,0,0,0,44,0,44,Cana fertirrigada,Outros ou sem predominância,"22,427","89,454","7,179","119,061",0
1100940,Cujubim,RO,0,70,0,0,0,96,166,0,166,Outras culturas e sistemas,Localizada,"3,682","80,000","4,938","88,621",0
1101005,Governador Jorge Teixeira,RO,0,70,0,0,0,21,91,0,91,Café,Outros ou sem predominância,14,"17,206",537,"17,758",0
1101104,Itapuã do Oeste,RO,0,0,0,0,0,73,73,0,73,Outras culturas e sistemas,Outros ou sem predominância,"1,778","46,753","3,043","51,574",0
1101203,Ministro Andreazza,RO,0,"3,564",0,0,0,855,"4,419",0,"4,419",Café,Aspersão - Outros,44,"3,494",469,"4,007",0
1101302,Mirante da Serra,RO,0,174,0,0,0,94,268,0,268,Café,Localizada,58,"6,235",525,"6,818",0
1101401,Monte Negro,RO,0,65,0,0,0,164,229,0,229,Outras culturas e sistemas,Localizada,112,"11,987","1,653","13,751",0
1101435,Nova União,RO,0,0,0,0,0,56,56,0,56,Outras culturas e sistemas,Localizada,4,"3,728",157,"3,889",0
1101450,Parecis,RO,0,25,0,0,0,93,118,0,118,Outras culturas e sistemas,Localizada,"2,722","39,903","3,606","46,231",0
1101468,Pimenteiras do Oeste,RO,0,0,0,0,0,89,89,0,89,Outras culturas e sistemas,Aspersão - Outros,"12,577","12,569","1,094","26,241",0
1101476,Primavera de Rondônia,RO,0,135,0,0,0,117,252,0,252,Café,Localizada,506,"16,762",726,"17,994",0
1101484,São Felipe D'Oeste,RO,0,107,0,0,0,347,454,0,454,Outras culturas e sistemas,Localizada,309,"1,964",211,"2,484",0
1101492,São Francisco do Guaporé,RO,0,300,0,0,0,211,511,0,511,Café,Localizada,385,"42,440",225,"43,049",0
1101500,Seringueiras,RO,0,"1,032",0,0,0,395,"1,427",0,"1,427",Café,Localizada,"1,275","24,045",658,"25,978",0
1101559,Teixeirópolis,RO,0,0,0,0,0,58,58,0,58,Outras culturas e sistemas,Localizada,0,"2,426",77,"2,503",0
1101609,Theobroma,RO,0,150,0,0,0,45,195,0,195,Café,Localizada,113,"26,097","1,056","27,266",0
1101708,Urupá,RO,0,90,0,0,0,24,114,0,114,Café,Localizada,46,"23,785",303,"24,134",0
1101757,Vale do Anari,RO,0,90,0,0,0,151,241,0,241,Outras culturas e sistemas,Localizada,200,"16,429",771,"17,400",0
1101807,Vale do Paraíso,RO,0,15,0,0,0,93,108,0,108,Outras culturas e sistemas,Localizada,20,"11,236",417,"11,674",0
1200013,Acrelândia,AC,0,0,0,0,0,122,122,0,122,Outras culturas e sistemas,Localizada,0,"33,229",0,"33,229",0
1200054,Assis Brasil,AC,0,0,0,0,0,0,0,0,0,,,0,"7,426",0,"7,426",0
1200104,Brasiléia,AC,0,0,0,0,0,38,38,0,38,Outras culturas e sistemas,Outros ou sem predominância,0,"26,327",0,"26,327",0
1200138,Bujari,AC,0,0,0,0,0,38,38,0,38,Outras culturas e sistemas,Outros ou sem predominância,0,"18,996",0,"18,996",0
1200179,Capixaba,AC,0,0,0,0,0,28,28,0,28,Outras culturas e sistemas,Outros ou sem predominância,0,"22,091",0,"22,091",0
1200203,Cruzeiro do Sul,AC,0,0,0,0,0,137,137,0,137,Outras culturas e sistemas,Outros ou sem predominância,0,"33,925",0,"33,925",0
1200252,Epitaciolândia,AC,0,0,0,0,0,0,0,0,0,,,0,"22,197",0,"22,197",0
1200302,Feijó,AC,0,0,0,0,0,35,35,0,35,Outras culturas e sistemas,Outros ou sem predominância,0,"62,780",0,"62,780",0
1200328,Jordão,AC,0,0,0,0,0,0,0,0,0,,,0,"6,325",0,"6,325",0
1200336,Mâncio Lima,AC,0,0,0,0,0,27,27,0,27,Outras culturas e sistemas,Outros ou sem predominância,0,"8,563",0,"8,563",0
1200344,Manoel Urbano,AC,0,0,0,0,0,0,0,0,0,,,0,"19,164",0,"19,164",0
1200351,Marechal Thaumaturgo,AC,0,0,0,0,0,0,0,0,0,,,0,"5,247",0,"5,247",0
1200385,Plácido de Castro,AC,0,0,0,0,0,102,102,0,102,Outras culturas e sistemas,Outros ou sem predominância,0,"53,804",0,"53,804",0
1200393,Porto Walter,AC,0,0,0,0,0,0,0,0,0,,,0,"13,571",0,"13,571",0
1200401,Rio Branco,AC,0,0,0,0,0,179,179,0,179,Outras culturas e sistemas,Outros ou sem predominância,0,"64,693",0,"64,693",0
1200427,Rodrigues Alves,AC,0,0,0,0,0,9,9,0,9,Outras culturas e sistemas,Outros ou sem predominância,0,"13,422",0,"13,422",0
1200435,Santa Rosa do Purus,AC,0,0,0,0,0,0,0,0,0,,,0,"3,197",0,"3,197",0
1200450,Senador Guiomard,AC,0,0,0,0,0,460,460,0,460,Outras culturas e sistemas,Outros ou sem predominância,0,"40,445",0,"40,445",0
1200500,Sena Madureira,AC,0,0,0,0,0,14,14,0,14,Outras culturas e sistemas,Outros ou sem predominância,0,"69,553",0,"69,553",0
1200609,Tarauacá,AC,0,0,0,0,0,46,46,0,46,Outras culturas e sistemas,Outros ou sem predominância,0,"72,538",0,"72,538",0
1200708,Xapuri,AC,0,0,0,0,0,3,3,0,3,Outras culturas e sistemas,Outros ou sem predominância,0,"66,122",0,"66,122",0
1200807,Porto Acre,AC,0,0,0,0,0,101,101,0,101,Outras culturas e sistemas,Localizada,0,"27,651",0,"27,651",0
1300029,Alvarães,AM,0,0,0,0,0,587,587,0,587,Outras culturas e sistemas,Outros ou sem predominância,0,"3,383",0,"3,383",0
1300060,Amaturá,AM,0,0,0,0,0,0,0,0,0,,,0,"3,752",0,"3,752",0
1300086,Anamã,AM,0,0,0,0,0,48,48,0,48,Outras culturas e sistemas,Outros ou sem predominância,0,"2,278",0,"2,278",0
1300102,Anori,AM,0,0,0,0,0,6,6,0,6,Outras culturas e sistemas,Outros ou sem predominância,0,"3,730",0,"3,730",0
1300144,Apuí,AM,0,0,0,0,0,20,20,0,20,Outras culturas e sistemas,Outros ou sem predominância,0,"109,960",0,"109,960",0
1300201,Atalaia do Norte,AM,0,0,0,0,0,0,0,0,0,,,0,"1,627",0,"1,627",0
1300300,Autazes,AM,0,0,0,0,0,101,101,0,101,Outras culturas e sistemas,Outros ou sem predominância,0,"82,287",0,"82,287",0
1300409,Barcelos,AM,0,0,0,0,0,43,43,0,43,Outras culturas e sistemas,Outros ou sem predominância,0,"27,880",0,"27,880",0
1300508,Barreirinha,AM,0,0,0,0,0,21,21,0,21,Outras culturas e sistemas,Outros ou sem predominância,0,"28,306",0,"28,306",0
1300607,Benjamin Constant,AM,0,0,0,0,0,0,0,0,0,,,0,"3,205",0,"3,205",0
1300631,Beruri,AM,0,0,0,0,0,95,95,0,95,Outras culturas e sistemas,Outros ou sem predominância,0,"4,165",0,"4,165",0
1300680,Boa Vista do Ramos,AM,0,0,0,0,0,8,8,0,8,Outras culturas e sistemas,Outros ou sem predominância,0,"7,525",0,"7,525",0
1300706,Boca do Acre,AM,0,0,0,0,0,20,20,0,20,Outras culturas e sistemas,Outros ou sem predominância,0,"101,981",0,"101,981",0
1300805,Borba,AM,0,0,0,0,0,29,29,0,29,Outras culturas e sistemas,Outros ou sem predominância,0,"18,202",0,"18,202",0
1300839,Caapiranga,AM,0,0,0,0,0,11,11,0,11,Outras culturas e sistemas,Outros ou sem predominância,0,"2,825",0,"2,825",0
1300904,Canutama,AM,0,0,0,0,0,95,95,0,95,Outras culturas e sistemas,Localizada,"1,059","51,339","2,318","54,716",0
1301001,Carauari,AM,0,0,0,0,0,5,5,0,5,Outras culturas e sistemas,Outros ou sem predominância,0,"6,437",0,"6,437",0
1301100,Careiro,AM,0,0,0,0,0,339,339,0,339,Outras culturas e sistemas,Outros ou sem predominância,0,"24,733",0,"24,733",0
1301159,Careiro da Várzea,AM,0,0,0,0,0,381,381,0,381,Outras culturas e sistemas,Outros ou sem predominância,0,"22,303",0,"22,303",0
1301209,Coari,AM,0,0,0,0,0,126,126,0,126,Outras culturas e sistemas,Outros ou sem predominância,0,"16,676",0,"16,676",0
1301308,Codajás,AM,0,0,0,0,0,27,27,0,27,Outras culturas e sistemas,Outros ou sem predominância,0,"7,530",0,"7,530",0
1301407,Eirunepé,AM,0,0,0,0,0,0,0,0,0,,,0,"15,871",0,"15,871",0
1301506,Envira,AM,0,0,0,0,0,4,4,0,4,Outras culturas e sistemas,Outros ou sem predominância,0,"12,633",0,"12,633",0
1301605,Fonte Boa,AM,0,0,0,0,0,0,0,0,0,,,0,"2,592",0,"2,592",0
1301654,Guajará,AM,0,0,0,0,0,0,0,0,0,,,0,"18,130",0,"18,130",0
1301704,Humaitá,AM,0,0,0,0,0,92,92,0,92,Outras culturas e sistemas,Outros ou sem predominância,20,"48,239",0,"48,259",0
1301803,Ipixuna,AM,0,0,0,0,0,0,0,0,0,,,0,"13,011",0,"13,011",0
1301852,Iranduba,AM,0,0,0,0,0,942,942,0,942,Outras culturas e sistemas,Outros ou sem predominância,0,"4,140",0,"4,140",0
1301902,Itacoatiara,AM,0,0,0,0,0,499,499,0,499,Outras culturas e sistemas,Localizada,0,"57,621",0,"57,621",0
1301951,Itamarati,AM,0,0,0,0,0,0,0,0,0,,,0,"5,042",0,"5,042",0
1302009,Itapiranga,AM,0,0,0,0,0,45,45,0,45,Outras culturas e sistemas,Outros ou sem predominância,0,"5,690",0,"5,690",0
1302108,Japurá,AM,0,0,0,0,0,1,1,0,1,Outras culturas e sistemas,Outros ou sem predominância,0,"2,358",0,"2,358",0
1302207,Juruá,AM,0,0,0,0,0,0,0,0,0,,,0,"3,237",0,"3,237",0
1302306,Jutaí,AM,0,0,0,0,0,0,0,0,0,,,0,"3,211",0,"3,211",0
1302405,Lábrea,AM,0,0,0,0,0,117,117,0,117,Outras culturas e sistemas,Outros ou sem predominância,81,"171,988","1,593","173,661",0
1302504,Manacapuru,AM,0,0,0,0,0,400,400,0,400,Outras culturas e sistemas,Localizada,0,"44,506",0,"44,506",0
1302553,Manaquiri,AM,0,0,0,0,0,0,0,0,0,,,0,"39,486",0,"39,486",0
1302603,Manaus,AM,0,0,0,0,0,652,652,0,652,Outras culturas e sistemas,Outros ou sem predominância,"2,730","26,397",0,"29,127",0
1302702,Manicoré,AM,0,0,0,0,0,154,154,0,154,Outras culturas e sistemas,Outros ou sem predominância,7,"93,909",211,"94,128",0
1302801,Maraã,AM,0,0,0,0,0,1,1,0,1,Outras culturas e sistemas,Outros ou sem predominância,0,"1,275",0,"1,275",0
1302900,Maués,AM,0,0,0,0,0,187,187,0,187,Outras culturas e sistemas,Outros ou sem predominância,0,"30,150",0,"30,150",0
1303007,Nhamundá,AM,0,0,0,0,0,30,30,0,30,Outras culturas e sistemas,Outros ou sem predominância,5,"18,650",686,"19,341",0
1303106,Nova Olinda do Norte,AM,0,0,0,0,0,33,33,0,33,Outras culturas e sistemas,Outros ou sem predominância,0,"13,083",0,"13,083",0
1303205,Novo Airão,AM,0,0,0,0,0,0,0,0,0,,,0,"4,336",0,"4,336",0
1303304,Novo Aripuanã,AM,0,0,0,0,0,0,0,0,0,,,59,"70,276",255,"70,590",0
1303403,Parintins,AM,0,0,0,0,0,665,665,0,665,Outras culturas e sistemas,Outros ou sem predominância,494,"46,527",456,"47,476",0
1303502,Pauini,AM,0,0,0,0,0,0,0,0,0,,,0,"9,773",0,"9,773",0
1303536,Presidente Figueiredo,AM,0,0,0,0,0,607,607,0,607,Outras culturas e sistemas,Localizada,"2,424","25,628","1,561","29,613",0
1303569,Rio Preto da Eva,AM,0,0,0,0,0,474,474,0,474,Outras culturas e sistemas,Outros ou sem predominância,0,"17,429",0,"17,429",0
1303601,Santa Isabel do Rio Negro,AM,0,0,0,0,0,0,0,0,0,,,0,"2,885",0,"2,885",0
1303700,Santo Antônio do Içá,AM,0,0,0,0,0,0,0,0,0,,,0,"6,257",0,"6,257",0
1303809,São Gabriel da Cachoeira,AM,0,0,0,0,0,0,0,0,0,,,0,559,0,559,0
1303908,São Paulo de Olivença,AM,0,0,0,0,0,12,12,0,12,Outras culturas e sistemas,Aspersão - Outros,0,"3,115",0,"3,115",0
1303957,São Sebastião do Uatumã,AM,0,0,0,0,0,14,14,0,14,Outras culturas e sistemas,Outros ou sem predominância,0,"7,504",0,"7,504",0
1304005,Silves,AM,0,0,0,0,0,0,0,0,0,,,0,"15,169",0,"15,169",0
1304062,Tabatinga,AM,0,0,0,0,0,19,19,0,19,Outras culturas e sistemas,Outros ou sem predominância,0,"1,541",0,"1,541",0
1304104,Tapauá,AM,0,0,0,0,0,0,0,0,0,,,0,"11,797",0,"11,797",0
1304203,Tefé,AM,0,0,0,0,0,0,0,0,0,,,0,"9,595",0,"9,595",0
1304237,Tonantins,AM,0,0,0,0,0,0,0,0,0,,,0,"2,454",0,"2,454",0
1304260,Uarini,AM,0,0,0,0,0,0,0,0,0,,,0,"6,133",0,"6,133",0
1304302,Urucará,AM,0,0,0,0,0,196,196,0,196,Outras culturas e sistemas,Outros ou sem predominância,9,"11,987",0,"11,996",0
1304401,Urucurituba,AM,0,0,0,0,0,0,0,0,0,,,0,"5,410",0,"5,410",0
1400027,Amajari,RR,0,0,0,0,0,0,0,0,0,,,229,"18,497",0,"18,726",0
1400050,Alto Alegre,RR,22,0,0,335,335,"2,578","2,935",0,"2,935",Outras culturas e sistemas,Outros ou sem predominância,"3,899","21,450",917,"26,267",0
1400100,Boa Vista,RR,0,0,0,"1,154","1,154","5,458","6,612",0,"6,612",Outras culturas e sistemas,Localizada,"4,474","2,507",226,"7,207",0
1400159,Bonfim,RR,"3,875",0,0,638,638,191,"4,704",0,"4,704",Arroz,Superficial,"4,753","7,858",322,"12,933",0
