Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2021],&Aacute;rea Territorial - km&sup2; [2022],Popula&ccedil;&atilde;o residente - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2010],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2020],Receitas realizadas - R$ (&times;1000) [2017],Despesas empenhadas - R$ (&times;1000) [2017],PIB per capita - R$ [2020]
2700102,&aacute;gua-branquense,JOSE CARLOS DE CARVALHO,468.229,19008,40.6,97.0,0.549,22.06,48527.4317,43341.73304,8238.26,
2700300,arapiraquense,JOS&Eacute; LUCIANO BARBOSA DA SILVA,345.655,234696,678.99,95.9,0.649,11.35,589893.31826,541162.1901,22457.59,
2700706,batalhense,MARINA THEREZA CINTRA DANTAS,315.87,16448,52.07,95.9,0.594,15.94,53185.33831,49101.41207,10398.74,
2700904,belo-montense,DALMO AUGUSTO DE ALMEIDA JUNIOR,334.136,5936,17.77,96.3,0.517,10.99,22674.1999,22434.31768,17345.78,
2701209,cacimbinhense,HUGO WANDERLEY CAJU,281.692,10476,37.19,96.5,0.531,12.42,31967.53232,31708.31177,10641.61,
2701605,canapiense,VIN&Iacute;CIUS JOS&Eacute; MARIANO DE LIMA,602.778,15559,25.81,97.5,0.506,23.17,48040.86731,46949.48524,7612.16,
2701803,carneirense,GERALDO NOVAIS AGRA FILHO,111.696,8999,80.57,96.2,0.526,6.45,21801.98846,19845.0974,7729.22,
2702009,coitenense,BUENO HIGINO DE SOUZA SILVA,88.759,10810,121.79,96.4,0.533,13.33,29951.79223,30176.34858,13856.04,
2702355,craibense,TEOFILO JOSE BARROSO PEREIRA,278.879,25397,91.07,96.5,0.525,14.29,57049.87433,51440.61594,13028.75,
2702405,delmirense,ELIZIANE FERREIRA COSTA,628.545,51319,81.65,96.1,0.612,6.43,101820.85947,108857.6951,11926.88,
