"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área colhida (Hectares)"
"Brasil e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil e Município";"2020";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2021";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2022"
"Brasil e Município";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Brasil";"...";"-";"1633091";"178777";"451874";"59548";"117253";"588501";"1898429";"1508829";"389600";"...";"426131";"69047";"37119";"2687605";"49001";"10405";"925";"2871";"45746";"1213839";"74661";"98241";"24518";"18258981";"3714";"37345";"37191638";"879140";"52006";"2432603";"15206";"64";"13763";"73727";"...";"-";"1369430";"203962";"453305";"57800";"116422";"600789";"1832508";"1444762";"387746";"...";"426994";"68601";"30316";"2613638";"41895";"10101";"20";"2066";"45238";"1215781";"76061";"91922";"23859";"18984300";"4002";"37994";"39126269";"889405";"51908";"2752664";"38226";"64";"12538";"75622";"...";"-";"1648836";"220382";"457910";"58229";"117803";"590232";"1872511";"1476838";"395673";"...";"424851";"73458";"35609";"2607616";"36898";"10391";"15";"1941";"45170";"1181482";"78033";"85729";"27457";"21037669";"4634";"41310";"40894968";"1043480";"54502";"3167112";"36997";"62";"12009";"74798"
"Água Doce do Maranhão (MA)";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"...";"160";"-";"-";"35";"-";"-";"-";"-";"-";"330";"1";"-";"-";"470";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"...";"157";"-";"-";"33";"-";"-";"-";"-";"-";"318";"-";"-";"-";"467";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"130";"-";"-";"34";"-";"-";"-";"-";"-";"315";"-";"-";"-";"469";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Araioses (MA)";"...";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-";"...";"382";"-";"-";"285";"-";"-";"-";"-";"-";"920";"-";"-";"-";"170";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"...";"330";"-";"-";"279";"-";"-";"-";"-";"-";"930";"-";"10";"-";"183";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"...";"312";"-";"-";"237";"-";"-";"-";"-";"-";"970";"-";"-";"-";"178";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barão de Grajaú (MA)";"...";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"...";"100";"-";"29";"206";"-";"-";"-";"-";"-";"37";"-";"11";"-";"386";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"130";"-";"27";"215";"-";"-";"-";"-";"-";"41";"-";"10";"-";"395";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"...";"130";"-";"29";"216";"-";"-";"-";"-";"-";"43";"-";"9";"-";"377";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo (MA)";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"89";"-";"-";"169";"-";"-";"-";"-";"-";"490";"-";"-";"-";"1330";"-";"-";"16000";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"...";"62";"-";"-";"150";"-";"-";"-";"-";"-";"478";"-";"-";"-";"1350";"-";"-";"16200";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"22";"-";"-";"120";"-";"-";"-";"-";"-";"490";"-";"-";"-";"950";"-";"-";"16150";"-";"-";"-";"-";"-";"-";"-"
"Buriti (MA)";"...";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"...";"58";"-";"-";"295";"-";"-";"-";"-";"-";"430";"-";"-";"-";"1115";"-";"-";"13450";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"52";"-";"-";"230";"-";"-";"-";"-";"-";"370";"-";"-";"-";"1150";"-";"-";"13600";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"...";"9";"-";"-";"193";"-";"-";"-";"-";"-";"430";"-";"-";"-";"930";"-";"-";"13700";"-";"-";"-";"-";"-";"-";"-"
"Caxias (MA)";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"12";"-";"-";"640";"-";"-";"-";"-";"-";"260";"-";"55";"-";"2050";"-";"-";"4833";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"12";"-";"-";"620";"-";"-";"-";"-";"-";"250";"-";"52";"-";"2000";"-";"-";"4946";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"10";"-";"-";"620";"-";"-";"-";"-";"-";"240";"-";"40";"-";"2960";"-";"-";"8048";"-";"-";"-";"-";"-";"-";"-"
"Magalhães de Almeida (MA)";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"114";"-";"-";"410";"-";"-";"-";"-";"-";"380";"2";"-";"-";"640";"-";"-";"4230";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"...";"105";"-";"-";"344";"-";"-";"-";"-";"-";"398";"-";"-";"-";"744";"-";"-";"2942";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"31";"-";"-";"-";"-";"-";"-";"...";"102";"-";"-";"360";"-";"-";"-";"-";"-";"401";"-";"-";"-";"740";"-";"-";"4200";"-";"-";"-";"-";"-";"-";"-"
"Matões (MA)";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"...";"219";"-";"-";"916";"-";"-";"-";"-";"-";"560";"-";"38";"-";"1350";"-";"-";"650";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"...";"215";"-";"-";"760";"-";"-";"-";"-";"-";"600";"-";"40";"-";"3000";"-";"-";"5000";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"...";"180";"-";"-";"780";"-";"-";"-";"-";"-";"660";"-";"-";"-";"3300";"-";"-";"6000";"-";"-";"-";"-";"-";"-";"-"
"Milagres do Maranhão (MA)";"...";"-";"-";"-";"22";"-";"-";"-";"-";"-";"-";"...";"35";"-";"-";"315";"-";"-";"-";"-";"-";"270";"-";"-";"-";"300";"-";"-";"4950";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"18";"-";"-";"-";"-";"-";"-";"...";"29";"-";"-";"200";"-";"-";"-";"-";"-";"290";"-";"-";"-";"250";"-";"-";"5000";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"20";"-";"-";"165";"-";"-";"-";"-";"-";"270";"-";"-";"-";"255";"-";"-";"4920";"-";"-";"-";"-";"-";"-";"-"
