"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Brasil e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil e Município";"2020";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2021";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2022"
"Brasil e Município";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva";"Alfafa fenada";"Algodão arbóreo (em caroço)";"Algodão herbáceo (em caroço)";"Amendoim (em casca)";"Banana (cacho)";"Batata-doce";"Batata-inglesa";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Castanha de caju";"Erva-mate (folha verde)";"Fava (em grão)";"Feijão (em grão)";"Girassol (em grão)";"Guaraná (semente)";"Juta (fibra)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Manga";"Melancia";"Melão";"Milho (em grão)";"Noz (fruto seco)";"Pimenta-do-reino";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Brasil";"...";"-";"1633238";"178857";"454082";"59857";"117263";"589153";"1907554";"1509472";"398082";"...";"426185";"72122";"37578";"2769885";"49081";"10416";"925";"2897";"45751";"1234357";"74888";"99248";"24828";"18356420";"3725";"37376";"37205462";"880309";"52163";"2433118";"15206";"64";"13773";"74436";"...";"8";"1369763";"204058";"457907";"58204";"116428";"600818";"1833600";"1445746";"387854";"...";"427035";"72091";"33374";"2766276";"42145";"10103";"20";"2151";"45857";"1223690";"76889";"93630";"23947";"19547959";"4012";"37994";"39143946";"902368";"52047";"2776044";"38266";"64";"12550";"75730";"...";"-";"1648928";"220721";"460126";"58540";"117845";"590847";"1874686";"1478884";"395802";"...";"424912";"76843";"37189";"2714611";"37641";"10762";"17";"1943";"45832";"1197450";"78314";"87113";"27594";"21284279";"4650";"41346";"41141725";"1049514";"54776";"3167615";"36997";"62";"12276";"76101"
"Água Doce do Maranhão (MA)";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"...";"160";"-";"-";"35";"-";"-";"-";"-";"-";"330";"1";"-";"-";"470";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"...";"157";"-";"-";"33";"-";"-";"-";"-";"-";"318";"-";"-";"-";"467";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"130";"-";"-";"34";"-";"-";"-";"-";"-";"315";"-";"-";"-";"469";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Araioses (MA)";"...";"-";"-";"-";"13";"-";"-";"-";"-";"-";"-";"...";"382";"-";"-";"285";"-";"-";"-";"-";"-";"920";"-";"-";"-";"170";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"14";"-";"-";"-";"-";"-";"-";"...";"330";"-";"-";"279";"-";"-";"-";"-";"-";"930";"-";"10";"-";"183";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"...";"312";"-";"-";"237";"-";"-";"-";"-";"-";"970";"-";"-";"-";"178";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barão de Grajaú (MA)";"...";"-";"-";"-";"7";"-";"-";"-";"-";"-";"-";"...";"100";"-";"29";"206";"-";"-";"-";"-";"-";"37";"-";"11";"-";"386";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"130";"-";"27";"215";"-";"-";"-";"-";"-";"41";"-";"10";"-";"395";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"...";"130";"-";"29";"216";"-";"-";"-";"-";"-";"43";"-";"9";"-";"377";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brejo (MA)";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"89";"-";"-";"169";"-";"-";"-";"-";"-";"490";"-";"-";"-";"1330";"-";"-";"16000";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"...";"62";"-";"-";"150";"-";"-";"-";"-";"-";"478";"-";"-";"-";"1350";"-";"-";"16200";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"...";"22";"-";"-";"120";"-";"-";"-";"-";"-";"490";"-";"-";"-";"950";"-";"-";"16150";"-";"-";"-";"-";"-";"-";"-"
"Buriti (MA)";"...";"-";"-";"-";"6";"-";"-";"-";"-";"-";"-";"...";"58";"-";"-";"295";"-";"-";"-";"-";"-";"430";"-";"-";"-";"1115";"-";"-";"13450";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"52";"-";"-";"230";"-";"-";"-";"-";"-";"370";"-";"-";"-";"1150";"-";"-";"13600";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"4";"-";"-";"-";"-";"-";"-";"...";"9";"-";"-";"193";"-";"-";"-";"-";"-";"430";"-";"-";"-";"930";"-";"-";"13700";"-";"-";"-";"-";"-";"-";"-"
"Caxias (MA)";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"12";"-";"-";"640";"-";"-";"-";"-";"-";"260";"-";"55";"-";"2050";"-";"-";"4833";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"12";"-";"-";"620";"-";"-";"-";"-";"-";"250";"-";"52";"-";"2000";"-";"-";"4946";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"...";"10";"-";"-";"620";"-";"-";"-";"-";"-";"240";"-";"40";"-";"2960";"-";"-";"8048";"-";"-";"-";"-";"-";"-";"-"
"Magalhães de Almeida (MA)";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"114";"-";"-";"410";"-";"-";"-";"-";"-";"380";"2";"-";"-";"640";"-";"-";"4230";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"...";"105";"-";"-";"344";"-";"-";"-";"-";"-";"398";"-";"-";"-";"744";"-";"-";"2942";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"31";"-";"-";"-";"-";"-";"-";"...";"102";"-";"-";"360";"-";"-";"-";"-";"-";"401";"-";"-";"-";"740";"-";"-";"4200";"-";"-";"-";"-";"-";"-";"-"
"Matões (MA)";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"...";"219";"-";"-";"916";"-";"-";"-";"-";"-";"560";"-";"38";"-";"1350";"-";"-";"650";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"...";"215";"-";"-";"760";"-";"-";"-";"-";"-";"600";"-";"40";"-";"3000";"-";"-";"5000";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"2";"-";"-";"-";"-";"-";"-";"...";"180";"-";"-";"780";"-";"-";"-";"-";"-";"660";"-";"-";"-";"3300";"-";"-";"6000";"-";"-";"-";"-";"-";"-";"-"
"Milagres do Maranhão (MA)";"...";"-";"-";"-";"22";"-";"-";"-";"-";"-";"-";"...";"35";"-";"-";"315";"-";"-";"-";"-";"-";"270";"-";"-";"-";"300";"-";"-";"4950";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"18";"-";"-";"-";"-";"-";"-";"...";"29";"-";"-";"200";"-";"-";"-";"-";"-";"290";"-";"-";"-";"250";"-";"-";"5000";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"8";"-";"-";"-";"-";"-";"-";"...";"20";"-";"-";"165";"-";"-";"-";"-";"-";"270";"-";"-";"-";"255";"-";"-";"4920";"-";"-";"-";"-";"-";"-";"-"
