COD Municipio;Cidade;COD UF;UF;Total de escolas federais;Total de escolas estaduais;Total de escolas municipais;Total de escolas privadas;Total de escolas sem creche;Total de escolas com creche;Escolas que não funcionam em prédio escolar;Escolas que funcionam em prédio escolar;Total de escolas que não funcionam em unidade de atendimento socio educativo;Total de escolas que funcionam em unidade de atendimento socio educativo;Total de escolas que não funcionam em unidade prisional;Total de escolas que funcionam em unidade prisional;Total de escolas que não funcionam em galpão / rancho / paiol / barracão;Total de escolas que funcionam em galpão / rancho / paiol / barracão;Total de escolas que não funcionam em salas de outra escola;Total de escolas que funcionam em salas de outra escola;Total de escolas que não funcionam em outros locais;Total de escolas que funcionam em outros locais;Total de escolas que não tem abastecimento de água da rede pública;Total de escolas que tem abastecimento de água da rede pública;Total de escolas que não não possuem abastecimento de água;Total de escolas que não possuem abastecimento de água;Total de escolas que não possuem energia elétrica da rede pública;Total de escolas que possuem energia elétrica da rede pública;Total de escolas que não não possuem energia elétrica;Total de escolas que não possuem energia elétrica;Total de matrículas;Total de docentes;Total de docentes em Creche;Total de docentes em Pré-escola;Total de docentes em 1ª Série;Total de docentes em 2ª Série;Total de docentes em 3ª Série;Total de docentes em 4ª Série;Total de docentes em 5ª Série;Total de docentes em 6ª Série;Total de docentes em 7ª Série;Total de docentes em 8ª Série;Total de docentes em 1º Ano;Total de docentes em 2º Ano;Total de docentes em 3º Ano;Total de docentes em 4º Ano;Total de docentes em 5º Ano;Total de docentes em 6º Ano;Total de docentes em 7º Ano;Total de docentes em 8º Ano;Total de docentes em 9º Ano;Total de docentes em 1º ano/1ª Série;Total de docentes em 2º ano/2ª Série;Total de docentes em 3ºano/3ª Série;Total de docentes em 4º ano/4ª Série;Total de docentes em Nao Seriada;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 1ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 2ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 3ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) 4ª Série;Total de docentes em Curso Técnico Integrado (Ensino Médio Integrado) Nao Seriada;Total de docentes em Modalidade Normal/Magistério 1ª Série;Total de docentes em Modalidade Normal/Magistério 2ª Série;Total de docentes em Modalidade Normal/Magistério 3ª Série;Total de docentes em Modalidade Normal/Magistério 4ª Série;Total de docentes em Concomitante;Total de docentes em Subsequente;Total de docentes em Ensino Fundamental - Projovem Urbano;Total de docentes em Nível Médio;Total de docentes em Curso FIC Concomitante;Total de docentes em Ensino Fundamental - Anos Iniciais;Total de docentes em Ensino Fundamental - Anos Finais;Total de docentes em Ensino Médio;Total de docentes em Nível Fundamental (EJA integrada à Educação Profissional de Nível Fundamental);Total de docentes em Curso Técnico Integrado na Modalidade EJA (EJA integrada à Educação Profissional de Nível Médio);Total de docentes em Nao aplicável para turmas de atendimento educacional especializado (AEE) e atividade complementar;
2100477;Alto Alegre do Pindaré;21;MA;;8,0;55,0;1,0;20;44,0;10,0;54;64;;64;;60;4,0;62;2,0;30;34,0;45,0;19,0;24,0;40,0;1,0;63;63;1,0;18773;631;62,0;56;;;;;;;;;29;29;37;43;51,0;104;105;77;128;76,0;76,0;73,0;;;6,0;6,0;6,0;;;;;;;;;;;;11,0;20,0;10,0;;;;4,2
2611804;Ribeirão;26;PE;;3,0;32,0;16,0;10;41,0;;51;51;;51;;51;;46;5,0;43;8,0;24,0;27,0;51,0;;;51;51;;10541;494;49,0;67;;;;;;;;;45;43;49;45;50,0;132;137;135;133;61,0;57,0;58,0;;;;;;;;;;;;;;;;;40,0;42,0;24,0;;;;4,1
2914000;Ipirá;29;BA;;4,0;56,0;9,0;55;14,0;;69;69;;69;;69;;68;1,0;66;3,0;9,0;60,0;69,0;;;69;69;;14672;618;68,0;86;;;;;;;;;40;40;55;53;48,0;198;208;204;207;66,0;71,0;73,0;;12,0;22,0;31,0;20,0;21,0;;;;;;;24,0;;;;4,0;42,0;21,0;;14,0;;3,5
2905800;Camamu;29;BA;;1,0;81,0;4,0;61;25,0;;86;86;;86;;86;;86;;85;1,0;50,0;36,0;85,0;1,0;3,0;83;84;2,0;10202;399;38,0;46;;;;;;;;;23;24;36;28;28,0;90;86;78;69;45,0;43,0;41,0;;;;;;;;;;;;;;;;;13,0;17,0;20,0;;7,0;;3,5999999999999996
2101707;Barreirinhas;21;MA;1,0;5,0;140,0;5,0;148;3,0;25,0;126;151;;151;;136;15,0;148;3,0;121;30,0;128,0;23,0;145,0;6,0;5,0;146;146;5,0;23325;1014;9,0;125;;;;;;;;;55;47;54;57;65,0;303;316;312;295;102,0;104,0;93,0;;;38,0;40,0;36,0;;;;;;;;10,0;;;;8,0;16,0;37,0;;;;3,8000000000000003
2611101;Petrolina;26;PE;2,0;50,0;121,0;158,0;161;170,0;3,0;328;330;1,0;330;1,0;329;2,0;321;10,0;297;34,0;22,0;309,0;331,0;;;331;331;;110379;3983;640,0;485;;;;;;;;;316;320;331;326;312,0;834;863;850;791;694,0;689,0;590,0;;41,0;68,0;74,0;79,0;36,0;4,0;;;;4,0;7,0;105,0;;;2,0;42,0;375,0;287,0;7,0;40,0;;5,0
2602803;Buíque;26;PE;;10,0;38,0;3,0;47;4,0;;51;51;;50;1,0;49;2,0;47;4,0;45;6,0;29,0;22,0;47,0;4,0;1,0;50;51;;16275;505;10,0;56;;;;;;;;;38;31;34;37;40,0;125;131;126;116;76,0;58,0;51,0;;4,0;18,0;20,0;17,0;;;;;;;;4,0;;;;15,0;55,0;43,0;;;;4,3
2408102;Natal;24;RN;8,0;111,0;146,0;226,0;307;184,0;4,0;487;490;1,0;490;1,0;491;;485;6,0;466;25,0;5,0;486,0;491,0;;;491;491;;197259;7765;643,0;972;;;;;;;;;944;977;966;1037;1006,0;1670;1725;1718;1675;1351,0;1309,0;1218,0;;4,0;267,0;214,0;221,0;164,0;;6,0;7,0;;;57,0;450,0;;;9,0;134,0;488,0;320,0;;39,0;;4,1
2802106;Estância;28;SE;1,0;7,0;40,0;11,0;37;22,0;;59;59;;58;1,0;59;;56;3,0;56;3,0;10,0;49,0;59,0;;;59;59;;19089;775;56,0;93;;;;;;;;;60;64;65;72;83,0;186;198;194;193;153,0;131,0;129,0;;;18,0;26,0;24,0;;;;;;;10,0;23,0;;;;10,0;82,0;40,0;;;;3,7000000000000006
2917508;Jacobina;29;BA;1,0;5,0;49,0;30,0;51;34,0;2,0;83;85;;85;;85;;85;;77;8,0;;85,0;85,0;;;85;85;;20927;996;137,0;127;;;;;;;;;83;86;80;90;102,0;223;246;214;198;132,0;117,0;120,0;;;52,0;57,0;51,0;42,0;;;;;;50,0;55,0;;;;14,0;54,0;34,0;4,0;17,0;;4,1
