codigo_ibge,nome,codigo_uf,nome_porto,transportation_cost
2300101,Abaiara,23,suape,26769.16744
2300101,Abaiara,23,aratu,26247.38665
2300101,Abaiara,23,natal,27553.40676
2900108,Abaíra,29,suape,25204.17079
2900108,Abaíra,29,aratu,24126.59079
2900108,Abaíra,29,natal,26060.58867
2900207,Abaré,29,suape,26122.76531
2900207,Abaré,29,aratu,25514.75931
2900207,Abaré,29,natal,26920.18016
2300150,Acarape,23,suape,28214.59536
2300150,Acarape,23,aratu,27888.8368
2300150,Acarape,23,natal,28967.06339
2300200,Acaraú,23,suape,29498.25962
2300200,Acaraú,23,aratu,29138.73028
2300200,Acaraú,23,natal,30253.9365
2400109,Acari,24,suape,26204.40069
2400109,Acari,24,aratu,25918.09323
2400109,Acari,24,natal,26954.25496
2200053,Acauã,22,suape,27256.15568
2200053,Acauã,22,aratu,26536.29999
2200053,Acauã,22,natal,28066.92985
2300309,Acopiara,23,suape,27576.88916
2300309,Acopiara,23,aratu,27096.10135
2300309,Acopiara,23,natal,28353.87722
2400208,Açu,24,suape,26759.6868
2400208,Açu,24,aratu,26497.47302
2400208,Açu,24,natal,27504.6948
2900355,Adustina,29,suape,24783.7191
2900355,Adustina,29,aratu,24138.75532
2900355,Adustina,29,natal,25588.39225
2600104,Afogados da Ingazeira,26,suape,25954.88749
2600104,Afogados da Ingazeira,26,aratu,25516.75062
2600104,Afogados da Ingazeira,26,natal,26728.33994
2400307,Afonso Bezerra,24,suape,26639.81591
2400307,Afonso Bezerra,24,aratu,26414.18994
2400307,Afonso Bezerra,24,natal,27379.19623
2600203,Afrânio,26,suape,27082.13133
2600203,Afrânio,26,aratu,26350.14473
2600203,Afrânio,26,natal,27894.7487
2600302,Agrestina,26,suape,24868.41585
2600302,Agrestina,26,aratu,24521.53903
2600302,Agrestina,26,natal,25630.23325
2200202,Água Branca,22,suape,29092.9299
2200202,Água Branca,22,aratu,28399.57081
2200202,Água Branca,22,natal,29897.65428
2500106,Água Branca,25,suape,26074.00425
2500106,Água Branca,25,aratu,25648.86976
2500106,Água Branca,25,natal,26845.31669
2700102,Água Branca,27,suape,25331.55818
2700102,Água Branca,27,aratu,24779.59743
2700102,Água Branca,27,natal,26122.51264
2900405,Água Fria,29,suape,24455.53754
2900405,Água Fria,29,aratu,23675.85829
2900405,Água Fria,29,natal,25278.26084
2400406,Água Nova,24,suape,27021.14204
2400406,Água Nova,24,aratu,26619.6088
2400406,Água Nova,24,natal,27787.26265
2600500,Águas Belas,26,suape,25047.16956
2600500,Águas Belas,26,aratu,24567.58371
2600500,Águas Belas,26,natal,25828.32927
3101003,Águas Vermelhas,31,suape,24028.59119
3101003,Águas Vermelhas,31,aratu,22790.42215
3101003,Águas Vermelhas,31,natal,24902.75753
2500205,Aguiar,25,suape,26516.01806
2500205,Aguiar,25,aratu,26074.20969
2500205,Aguiar,25,natal,27289.02689
2300408,Aiuaba,23,suape,27629.23094
2300408,Aiuaba,23,aratu,27072.96639
2300408,Aiuaba,23,natal,28417.03317
2500304,Alagoa Grande,25,suape,25465.53603
2500304,Alagoa Grande,25,aratu,25226.20221
